CPU_Usage (%),Memory_Usage (%),Storage_Usage (GB),Network_Traffic (MB/s),Instance_Type,Cost
52,36,385,421,t2.large,193.88
50,57,285,455,t2.small,134.15
76,91,279,517,t2.medium,190.11
40,21,164,675,t2.micro,98.14
45,35,270,966,t2.small,145.92
79,93,376,213,t2.small,166.17
92,62,480,826,t2.large,265.07
49,32,466,461,t2.small,145.08
57,22,164,170,t2.medium,118.59
85,44,127,201,t2.small,124.52
67,77,262,648,t2.micro,154.96
99,61,151,254,t2.medium,166.64
37,32,156,257,t2.small,89.13
32,66,477,540,t2.large,211.7
43,34,266,560,t2.medium,143.1
84,91,121,133,t2.small,143.62
11,44,409,814,t2.medium,153.31
11,98,428,741,t2.medium,173.05
40,81,224,265,t2.medium,141.29
28,58,436,998,t2.large,218.48
81,74,67,289,t2.micro,125.31
62,46,410,996,t2.medium,196.07
36,24,364,783,t2.medium,151.76
26,24,269,742,t2.micro,104.3
40,77,193,443,t2.micro,118.36
55,24,160,348,t2.large,165.13
12,35,413,269,t2.medium,119.95
65,26,120,777,t2.micro,118.36
27,80,315,964,t2.large,218.7
78,66,276,662,t2.micro,159.34
91,54,265,903,t2.micro,172.78
77,61,89,785,t2.small,154.79
87,32,317,580,t2.small,156.83
75,81,106,407,t2.large,201.7
38,43,275,856,t2.large,197.01
58,69,91,867,t2.medium,166.68
99,85,461,182,t2.small,181.88
24,45,154,374,t2.medium,115.18
35,14,211,603,t2.medium,125.12
19,51,61,291,t2.medium,97.79
98,91,492,962,t2.large,293.88
19,38,269,428,t2.small,101.15
19,98,351,392,t2.micro,128.77
12,85,200,809,t2.micro,120.97
58,86,121,108,t2.medium,141.54
42,55,292,219,t2.small,115.47
82,99,295,574,t2.micro,175.31
95,98,50,689,t2.large,236.34
62,52,299,712,t2.large,212.98
75,38,492,932,t2.micro,176.3
10,76,181,597,t2.medium,134.76
78,29,242,450,t2.small,132.74
42,89,352,505,t2.small,154.64
86,14,230,748,t2.micro,139.93
56,76,312,860,t2.small,173.63
36,12,246,158,t2.medium,101.65
70,99,486,100,t2.small,174.4
58,44,481,470,t2.small,155.94
48,76,435,128,t2.large,200.86
13,83,434,977,t2.medium,181.84
95,87,363,208,t2.micro,163.29
52,89,152,978,t2.micro,153.83
81,39,387,178,t2.medium,163.09
36,54,352,347,t2.micro,116.01
